Notes,County,County Code,ICD-10 113 Cause List,ICD-10 113 Cause List Code,Deaths,Population,Crude Rate
,"Clay County, AL",1027,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,22,148303,14.8
,"Cleburne County, AL",1029,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,29,164419,17.6
,"Cleburne County, AL",1029,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,25,164419,15.2
,"Coffee County, AL",1031,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,90,565365,15.9
,"Coffee County, AL",1031,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,74,565365,13.1
,"Coffee County, AL",1031,"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)",GR113-126,16,565365,Unreliable
,"Colbert County, AL",1033,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,99,600933,16.5
,"Colbert County, AL",1033,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,74,600933,12.3
,"Colbert County, AL",1033,"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)",GR113-126,25,600933,4.2
,"Conecuh County, AL",1035,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,24,138602,17.3
,"Conecuh County, AL",1035,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,18,138602,Unreliable
,"Coosa County, AL",1037,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,23,119089,19.3
,"Coosa County, AL",1037,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,16,119089,Unreliable
,"Covington County, AL",1039,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,62,412928,15.0
,"Covington County, AL",1039,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,43,412928,10.4
,"Covington County, AL",1039,"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)",GR113-126,19,412928,Unreliable
,"Crenshaw County, AL",1041,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,23,152887,15.0
,"Crenshaw County, AL",1041,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,18,152887,Unreliable
,"Cullman County, AL",1043,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,176,902438,19.5
,"Cullman County, AL",1043,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,102,902438,11.3
,"Cullman County, AL",1043,"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)",GR113-126,74,902438,8.2
,"Dale County, AL",1045,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,90,545211,16.5
,"Dale County, AL",1045,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,61,545211,11.2
,"Dale County, AL",1045,"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)",GR113-126,29,545211,5.3
,"Dallas County, AL",1047,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,42,445681,9.4
,"Dallas County, AL",1047,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,28,445681,6.3
,"Dallas County, AL",1047,"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)",GR113-126,14,445681,Unreliable
,"DeKalb County, AL",1049,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,153,783845,19.5
,"DeKalb County, AL",1049,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,103,783845,13.1
,"DeKalb County, AL",1049,"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)",GR113-126,50,783845,6.4
,"Elmore County, AL",1051,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,161,892171,18.0
,"Elmore County, AL",1051,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,117,892171,13.1
,"Elmore County, AL",1051,"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)",GR113-126,44,892171,4.9
,"Escambia County, AL",1053,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,67,412750,16.2
,"Escambia County, AL",1053,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,40,412750,9.7
,"Escambia County, AL",1053,"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)",GR113-126,27,412750,6.5
,"Etowah County, AL",1055,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,197,1136103,17.3
,"Etowah County, AL",1055,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,130,1136103,11.4
,"Etowah County, AL",1055,"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)",GR113-126,67,1136103,5.9
,"Fayette County, AL",1057,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,41,183938,22.3
,"Fayette County, AL",1057,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,31,183938,16.9
,"Fayette County, AL",1057,"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)",GR113-126,10,183938,Unreliable
,"Franklin County, AL",1059,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,54,347533,15.5
,"Franklin County, AL",1059,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,37,347533,10.6
,"Franklin County, AL",1059,"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)",GR113-126,17,347533,Unreliable
,"Geneva County, AL",1061,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,47,292749,16.1
,"Geneva County, AL",1061,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,32,292749,10.9
,"Geneva County, AL",1061,"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)",GR113-126,15,292749,Unreliable
,"Greene County, AL",1063,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,12,93704,Unreliable
,"Hale County, AL",1065,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,17,166038,Unreliable
,"Hale County, AL",1065,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,16,166038,Unreliable
,"Henry County, AL",1067,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,32,189656,16.9
,"Henry County, AL",1067,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,23,189656,12.1
,"Houston County, AL",1069,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,162,1144938,14.1
,"Houston County, AL",1069,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,113,1144938,9.9
,"Houston County, AL",1069,"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)",GR113-126,49,1144938,4.3
,"Jackson County, AL",1071,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,127,576563,22.0
,"Jackson County, AL",1071,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,100,576563,17.3
,"Jackson County, AL",1071,"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)",GR113-126,27,576563,4.7
,"Jefferson County, AL",1073,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,961,7249978,13.3
,"Jefferson County, AL",1073,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,635,7249978,8.8
,"Jefferson County, AL",1073,"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)",GR113-126,326,7249978,4.5
,"Lamar County, AL",1075,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,19,154619,Unreliable
,"Lamar County, AL",1075,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,16,154619,Unreliable
,"Lauderdale County, AL",1077,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,146,1019861,14.3
,"Lauderdale County, AL",1077,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,96,1019861,9.4
,"Lauderdale County, AL",1077,"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)",GR113-126,50,1019861,4.9
,"Lawrence County, AL",1079,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,78,367504,21.2
,"Lawrence County, AL",1079,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,58,367504,15.8
,"Lawrence County, AL",1079,"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)",GR113-126,20,367504,5.4
,"Lee County, AL",1081,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,209,1709062,12.2
,"Lee County, AL",1081,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,141,1709062,8.3
,"Lee County, AL",1081,"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)",GR113-126,68,1709062,4.0
,"Limestone County, AL",1083,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,138,1011572,13.6
,"Limestone County, AL",1083,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,97,1011572,9.6
,"Limestone County, AL",1083,"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)",GR113-126,41,1011572,4.1
,"Lowndes County, AL",1085,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,12,114819,Unreliable
,"Lowndes County, AL",1085,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,11,114819,Unreliable
,"Macon County, AL",1087,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,20,213507,9.4
,"Macon County, AL",1087,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,14,213507,Unreliable
,"Madison County, AL",1089,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,627,3905176,16.1
,"Madison County, AL",1089,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,403,3905176,10.3
,"Madison County, AL",1089,"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)",GR113-126,224,3905176,5.7
,"Marengo County, AL",1091,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,26,218123,11.9
,"Marengo County, AL",1091,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,21,218123,9.6
,"Marion County, AL",1093,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,66,331545,19.9
,"Marion County, AL",1093,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,48,331545,14.5
,"Marion County, AL",1093,"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)",GR113-126,18,331545,Unreliable
,"Marshall County, AL",1095,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,175,1046660,16.7
,"Marshall County, AL",1095,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,116,1046660,11.1
,"Marshall County, AL",1095,"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)",GR113-126,59,1046660,5.6
,"Mobile County, AL",1097,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,691,4552576,15.2
,"Mobile County, AL",1097,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,436,4552576,9.6
,"Mobile County, AL",1097,"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)",GR113-126,255,4552576,5.6
,"Monroe County, AL",1099,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,29,239402,12.1
,"Monroe County, AL",1099,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,22,239402,9.2
,"Montgomery County, AL",1101,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,266,2500794,10.6
,"Montgomery County, AL",1101,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,187,2500794,7.5
,"Montgomery County, AL",1101,"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)",GR113-126,79,2500794,3.2
,"Morgan County, AL",1103,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,253,1315278,19.2
,"Morgan County, AL",1103,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,165,1315278,12.5
,"Morgan County, AL",1103,"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)",GR113-126,88,1315278,6.7
,"Pickens County, AL",1107,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,26,219291,11.9
,"Pickens County, AL",1107,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,22,219291,10.0
,"Pike County, AL",1109,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,57,364741,15.6
,"Pike County, AL",1109,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,43,364741,11.8
,"Pike County, AL",1109,"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)",GR113-126,14,364741,Unreliable
,"Randolph County, AL",1111,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,55,250026,22.0
,"Randolph County, AL",1111,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,44,250026,17.6
,"Randolph County, AL",1111,"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)",GR113-126,11,250026,Unreliable
,"Russell County, AL",1113,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,107,633388,16.9
,"Russell County, AL",1113,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,76,633388,12.0
,"Russell County, AL",1113,"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)",GR113-126,31,633388,4.9
,"St. Clair County, AL",1115,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,180,958466,18.8
,"St. Clair County, AL",1115,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,128,958466,13.4
,"St. Clair County, AL",1115,"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)",GR113-126,52,958466,5.4
,"Shelby County, AL",1117,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,326,2292574,14.2
,"Shelby County, AL",1117,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,229,2292574,10.0
,"Shelby County, AL",1117,"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)",GR113-126,97,2292574,4.2
,"Sumter County, AL",1119,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,15,143368,Unreliable
,"Sumter County, AL",1119,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,11,143368,Unreliable
,"Talladega County, AL",1121,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,137,888956,15.4
,"Talladega County, AL",1121,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,100,888956,11.2
,"Talladega County, AL",1121,"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)",GR113-126,37,888956,4.2
,"Tallapoosa County, AL",1123,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,71,450024,15.8
,"Tallapoosa County, AL",1123,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,55,450024,12.2
,"Tallapoosa County, AL",1123,"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)",GR113-126,16,450024,Unreliable
,"Tuscaloosa County, AL",1125,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,257,2240409,11.5
,"Tuscaloosa County, AL",1125,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,198,2240409,8.8
,"Tuscaloosa County, AL",1125,"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)",GR113-126,59,2240409,2.6
,"Walker County, AL",1127,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,162,716068,22.6
,"Walker County, AL",1127,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,100,716068,14.0
,"Walker County, AL",1127,"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)",GR113-126,62,716068,8.7
,"Washington County, AL",1129,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,34,184516,18.4
,"Washington County, AL",1129,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,24,184516,13.0
,"Washington County, AL",1129,"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)",GR113-126,10,184516,Unreliable
,"Winston County, AL",1133,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,48,263416,18.2
,"Winston County, AL",1133,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,34,263416,12.9
,"Winston County, AL",1133,"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)",GR113-126,14,263416,Unreliable
,"Anchorage Borough, AK",2020,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,689,3245842,21.2
,"Anchorage Borough, AK",2020,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,414,3245842,12.8
,"Anchorage Borough, AK",2020,"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)",GR113-126,275,3245842,8.5
,"Bethel Census Area, AK",2050,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,93,196830,47.2
,"Bethel Census Area, AK",2050,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,48,196830,24.4
,"Bethel Census Area, AK",2050,"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)",GR113-126,45,196830,22.9
,"Dillingham Census Area, AK",2070,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,20,54486,36.7
,"Dillingham Census Area, AK",2070,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,14,54486,Unreliable
,"Fairbanks North Star Borough, AK",2090,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,239,1088248,22.0
,"Fairbanks North Star Borough, AK",2090,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,169,1088248,15.5
,"Fairbanks North Star Borough, AK",2090,"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)",GR113-126,70,1088248,6.4
,"Juneau Borough, AK",2110,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,67,354315,18.9
,"Juneau Borough, AK",2110,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,38,354315,10.7
,"Juneau Borough, AK",2110,"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)",GR113-126,29,354315,8.2
,"Kenai Peninsula Borough, AK",2122,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,176,635054,27.7
,"Kenai Peninsula Borough, AK",2122,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,122,635054,19.2
,"Kenai Peninsula Borough, AK",2122,"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)",GR113-126,54,635054,8.5
,"Ketchikan Gateway Borough, AK",2130,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,33,151242,21.8
,"Ketchikan Gateway Borough, AK",2130,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,20,151242,13.2
,"Ketchikan Gateway Borough, AK",2130,"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)",GR113-126,13,151242,Unreliable
,"Kodiak Island Borough, AK",2150,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,29,150228,19.3
,"Kodiak Island Borough, AK",2150,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,20,150228,13.3
,"Matanuska-Susitna Borough, AK",2170,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,237,1106072,21.4
,"Matanuska-Susitna Borough, AK",2170,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,172,1106072,15.6
,"Matanuska-Susitna Borough, AK",2170,"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)",GR113-126,65,1106072,5.9
,"Nome Census Area, AK",2180,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,79,108577,72.8
,"Nome Census Area, AK",2180,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,39,108577,35.9
,"Nome Census Area, AK",2180,"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)",GR113-126,40,108577,36.8
,"North Slope Borough, AK",2185,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,30,106038,28.3
,"North Slope Borough, AK",2185,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,19,106038,Unreliable
,"North Slope Borough, AK",2185,"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)",GR113-126,11,106038,Unreliable
,"Northwest Arctic Borough, AK",2188,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,53,84513,62.7
,"Northwest Arctic Borough, AK",2188,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,29,84513,34.3
,"Northwest Arctic Borough, AK",2188,"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)",GR113-126,24,84513,28.4
