County,Population,Firearm Homicide,Total Homicide,Firearm Suicides,Total Suicides,Poverty %,Poverty % (U18),MedHHInc,PopDen
"Bartholomew County, IN",889180.0,13.0,22.0,85.0,144.0,8.1,11.4,"72,458",77.70463936
"Barton County, KS",295868.0,,11.0,41.0,68.0,14.2,21.6,"54,236",11.5542922
"Bartow County, GA",1139428.0,39.0,53.0,129.0,200.0,11.6,17.3,"67,604",87.06431394
"Bastrop County, TX",893264.0,32.0,46.0,103.0,153.0,11.5,18.1,"72,809",35.89726414
"Baxter County, AR",455174.0,16.0,21.0,98.0,148.0,13.4,18.7,"45,116",28.71527107
"Bay County, FL",1945069.0,85.0,129.0,264.0,445.0,13.9,23.8,"60,106",92.88574252
"Bay County, MI",1158908.0,19.0,25.0,95.0,187.0,12.6,16.6,"56,681",91.48441331
"Beaufort County, NC",521417.0,24.0,33.0,60.0,95.0,20.1,32.0,"50,312",21.92453498
"Beaufort County, SC",1968731.0,95.0,118.0,155.0,253.0,11.3,19.4,"72,661",122.4013952
"Beauregard Parish, LA",403377.0,14.0,25.0,37.0,50.0,15.9,20.4,"59,550",12.26632947
"Beaver County, PA",1844391.0,46.0,62.0,162.0,283.0,11.1,17.0,"64,593",148.2328331
"Becker County, MN",369240.0,,12.0,38.0,64.0,11.3,15.2,"67,261",9.915577814
"Beckham County, OK",247932.0,,14.0,38.0,63.0,18.4,23.0,"46,744",9.684911042
"Bedford County, PA",536098.0,,16.0,71.0,102.0,11.6,15.4,"52,984",18.54071919
"Bedford County, TN",520382.0,11.0,15.0,58.0,93.0,13.4,20.3,"55,420",38.76843022
"Bedford County, VA",825133.0,15.0,21.0,99.0,149.0,8.8,12.0,"66,026",39.57522961
"Bee County, TX",357997.0,12.0,22.0,23.0,62.0,27.1,30.9,"45,431",14.33935601
"Belknap County, NH",667203.0,,11.0,71.0,132.0,7.6,11.4,"75,781",58.26447251
"Bell County, KY",300693.0,,13.0,41.0,56.0,32.1,39.4,"31,033",29.23546513
"Bell County, TX",3716129.0,223.0,272.0,384.0,614.0,14.3,19.7,"58,878",125.6914911
"Belmont County, OH",755553.0,16.0,21.0,82.0,132.0,15.9,21.2,"50,602",49.68223263
"Beltrami County, MN",506183.0,15.0,29.0,40.0,93.0,15.3,21.0,"60,386",7.108971232
"Ben Hill County, GA",189567.0,15.0,17.0,16.0,24.0,22.1,34.4,"39,863",26.47984793
"Benton County, AR",2775567.0,33.0,60.0,233.0,430.0,7.9,10.9,"78,974",117.9774558
"Benton County, MO",209802.0,12.0,17.0,38.0,64.0,15.6,26.9,"51,574",10.41371619
"Benton County, MS",92697.0,10.0,13.0,,11.0,19.7,30.5,"41,019",7.836628889
"Benton County, OR",977145.0,,11.0,71.0,133.0,17.3,11.4,"65,419",51.34062774
"Benton County, TN",178319.0,10.0,11.0,29.0,45.0,18.3,29.1,"45,165",15.77676934
"Benton County, WA",2104084.0,36.0,54.0,181.0,329.0,10.6,13.4,"77,339",44.09960568
"Bergen County, NJ",10219259.0,60.0,128.0,157.0,810.0,7.5,9.1,"104,777",1542.514631
"Berkeley County, SC",2259980.0,124.0,149.0,211.0,347.0,10.2,14.2,"74,289",73.14238371
"Berkeley County, WV",1234985.0,26.0,47.0,129.0,226.0,9.9,12.7,"70,893",136.4498415
"Berks County, PA",4575193.0,121.0,181.0,356.0,705.0,12.9,18.1,"68,693",187.8468263
"Berkshire County, MA",1406900.0,15.0,28.0,56.0,188.0,10.9,15.4,"60,945",53.04016386
"Bernalillo County, NM",7426663.0,440.0,649.0,848.0,1617.0,15.2,18.2,"59,723",225.3235596
"Berrien County, MI",1703778.0,56.0,72.0,134.0,249.0,16.1,24.3,"57,554",105.2725308
"Bertie County, NC",219221.0,14.0,20.0,13.0,24.0,20.7,30.8,"41,280",10.84789289
"Bethel Census Area, AK",196830.0,11.0,30.0,48.0,93.0,24.6,26.8,"54,849",0.171435929
"Bexar County, TX",20731543.0,1098.0,1465.0,1258.0,2385.0,14.8,20.8,"63,014",599.5581109
"Bibb County, AL",248120.0,17.0,21.0,29.0,38.0,20.6,29.0,"48,454",13.973114
"Bibb County, GA",1695402.0,216.0,268.0,138.0,203.0,24.5,39.0,"47,859",237.6230669
"Big Horn County, MT",145008.0,11.0,24.0,21.0,30.0,25.7,32.9,"47,179",1.033353047
"Bingham County, ID",503959.0,11.0,16.0,60.0,105.0,11.3,13.4,"63,576",8.399768947
"Black Hawk County, IA",1453331.0,44.0,60.0,71.0,195.0,13.5,13.5,"60,716",90.75418035
"Bladen County, NC",374893.0,33.0,40.0,28.0,41.0,21.6,30.6,"42,398",14.9071817
"Blair County, PA",1372606.0,17.0,23.0,110.0,191.0,11.9,16.3,"55,843",90.93865631
"Blount County, AL",635351.0,28.0,38.0,83.0,122.0,12.0,16.7,"56,894",34.51581642
"Blount County, TN",1407566.0,22.0,37.0,146.0,230.0,9.7,13.9,"62,724",88.74484763
"Blue Earth County, MN",726923.0,,12.0,41.0,97.0,13.2,12.1,"68,620",34.24424159
"Bolivar County, MS",359744.0,54.0,69.0,29.0,33.0,34.2,46.6,"35,599",14.35428471
"Bonner County, ID",469683.0,10.0,13.0,77.0,115.0,11.8,17.8,"61,940",9.514596564
"Bonneville County, ID",1227796.0,15.0,26.0,163.0,278.0,9.8,11.8,"69,880",23.25677336
"Boone County, AR",410317.0,16.0,22.0,65.0,94.0,13.0,19.7,"48,700",24.40204536
"Boone County, IL",590797.0,,12.0,23.0,56.0,10.1,14.3,"71,557",73.71852195
"Boone County, IN",693518.0,,17.0,60.0,107.0,5.5,5.8,"98,047",58.72257117
"Boone County, KY",1402205.0,18.0,26.0,109.0,192.0,6.4,8.3,"85,284",202.3834146
"Boone County, MO",1913592.0,74.0,84.0,142.0,244.0,16.6,13.5,"62,805",99.41363667
"Boone County, WV",254489.0,,15.0,39.0,54.0,24.7,28.2,"41,227",17.56549137
"Bossier Parish, LA",1368160.0,57.0,85.0,135.0,196.0,15.2,19.9,"61,225",57.95449905
"Boulder County, CO",3466201.0,19.0,45.0,288.0,638.0,10.7,8.6,"90,327",170.6435299
"Bourbon County, KY",219979.0,,10.0,17.0,27.0,15.1,20.3,"58,304",26.84294204
"Bowie County, TX",1027579.0,49.0,80.0,117.0,190.0,17.8,23.6,"52,934",40.94769801
"Boyd County, KY",530800.0,,16.0,66.0,98.0,21.0,26.6,"48,979",116.1466556
"Boyle County, KY",324637.0,,10.0,47.0,64.0,15.5,20.9,"52,940",64.03928685
"Bradford County, FL",302794.0,12.0,17.0,28.0,53.0,19.1,24.8,"54,911",35.43517528
"Bradford County, PA",676712.0,,16.0,73.0,130.0,13.7,18.7,"55,199",20.6285945
"Bradley County, AR",122037.0,,12.0,13.0,19.0,19.6,26.8,"40,454",6.510797369
"Bradley County, TN",1143024.0,31.0,44.0,102.0,167.0,11.7,15.2,"56,273",122.7931096
"Brazoria County, TX",3814220.0,107.0,166.0,304.0,489.0,9.0,11.8,"82,165",100.3298284
"Brazos County, TX",2352272.0,50.0,75.0,123.0,212.0,22.6,23.5,"50,494",144.5413721
"Breathitt County, KY",145929.0,14.0,17.0,23.0,31.0,31.0,42.6,"33,005",10.28421391
"Breckinridge County, KY",221806.0,10.0,13.0,29.0,38.0,16.9,23.9,"50,012",13.60626856
"Brevard County, FL",6285587.0,240.0,346.0,764.0,1389.0,11.3,17.3,"65,280",219.3764634
"Bristol County, MA",6127846.0,75.0,127.0,160.0,687.0,11.9,15.3,"72,857",390.1505028
"Bronx County, NY",15676280.0,687.0,1160.0,92.0,839.0,26.4,34.3,"43,143",13202.5153
"Brooke County, WV",253619.0,,10.0,34.0,50.0,13.0,18.8,"52,217",98.56552662
"Brooks County, GA",171728.0,,11.0,20.0,26.0,23.5,36.0,"40,936",12.23231715
"Broome County, NY",2149681.0,19.0,60.0,95.0,256.0,14.1,17.6,"55,729",106.3436213
"Broomfield County, CO",705051.0,14.0,20.0,58.0,117.0,4.9,5.3,"106,413",773.5251676
"Broward County, FL",20655532.0,867.0,1161.0,1186.0,2582.0,12.8,16.5,"65,536",612.6877168
"Brown County, OH",483916.0,13.0,16.0,52.0,93.0,16.8,22.6,"58,990",34.4162569
"Brown County, TX",417160.0,,13.0,54.0,81.0,15.3,22.3,"48,803",15.46694199
"Brown County, WI",2837408.0,30.0,52.0,181.0,423.0,9.3,10.7,"67,232",189.2196973
"Brunswick County, NC",1373140.0,32.0,53.0,126.0,214.0,9.8,18.4,"67,286",57.67976134
"Bryan County, GA",387805.0,17.0,19.0,48.0,69.0,8.1,11.2,"87,334",31.66554713
"Bryan County, OK",498595.0,15.0,25.0,57.0,98.0,16.5,21.4,"47,916",19.53287138
"Buchanan County, MO",977258.0,37.0,66.0,73.0,170.0,18.6,22.8,"51,811",84.24475137
"Buchanan County, VA",247547.0,16.0,18.0,43.0,60.0,23.9,34.2,"38,087",16.99802047
"Bucks County, PA",6899376.0,60.0,121.0,397.0,956.0,6.5,8.2,"99,755",400.1185087
"Bullitt County, KY",863159.0,20.0,27.0,100.0,157.0,11.1,13.7,"68,630",103.2955927
"Bulloch County, GA",820358.0,32.0,40.0,63.0,91.0,21.3,25.3,"53,105",42.71567016
"Bullock County, AL",114915.0,13.0,14.0,,11.0,32.1,41.7,"32,027",6.41761955
"Buncombe County, NC",2773322.0,72.0,112.0,256.0,531.0,11.7,17.0,"63,838",149.6625061
"Burke County, GA",250986.0,26.0,31.0,23.0,31.0,20.7,30.5,"46,977",10.52749269
"Burke County, NC",989920.0,34.0,47.0,101.0,180.0,14.3,19.9,"53,758",68.42254022
"Burleigh County, ND",998806.0,,20.0,94.0,161.0,8.3,8.6,"71,980",22.1694151
"Burlington County, NJ",4935641.0,88.0,136.0,145.0,488.0,7.6,9.8,"94,043",215.6107178
"Burnet County, TX",501941.0,11.0,25.0,51.0,74.0,9.9,16.3,"72,510",17.76606423
"Butler County, AL",221074.0,34.0,39.0,25.0,33.0,22.7,34.2,"39,442",9.952770785
"Butler County, KS",730866.0,11.0,16.0,84.0,151.0,9.6,11.0,"71,826",17.95065849
"Butler County, MO",470635.0,15.0,29.0,63.0,95.0,19.9,28.5,"43,640",23.75128649
"Butler County, OH",4139802.0,117.0,156.0,261.0,523.0,11.6,12.8,"72,859",313.0169285
"Butler County, PA",2050748.0,16.0,24.0,168.0,271.0,8.5,8.8,"77,902",91.3441609
"Butte County, CA",2452891.0,54.0,91.0,243.0,475.0,16.6,18.3,"62,982",53.57515906
"Butts County, GA",263436.0,12.0,18.0,27.0,46.0,14.0,20.6,"61,471",49.92067542
"Cabarrus County, NC",2177804.0,67.0,85.0,153.0,270.0,9.4,12.7,"79,148",215.3137563
"Cabell County, WV",1048735.0,56.0,79.0,99.0,173.0,19.0,23.9,"46,923",130.9605756
"Cache County, UT",1331462.0,,12.0,85.0,196.0,11.0,9.0,"69,670",40.55374337
"Caddo County, OK",322222.0,12.0,22.0,43.0,73.0,26.1,36.1,"44,121",8.865771627
"Caddo Parish, LA",2744100.0,374.0,450.0,233.0,332.0,23.6,33.6,"44,968",109.1141448
"Calaveras County, CA",497995.0,11.0,18.0,88.0,133.0,13.5,18.3,"68,298",17.12260581
"Calcasieu Parish, LA",2185545.0,111.0,162.0,240.0,382.0,18.3,23.6,"57,667",72.62153265
"Caldwell County, NC",901852.0,31.0,48.0,102.0,164.0,14.8,21.2,"44,705",66.91171792
"Caldwell County, TX",449195.0,12.0,22.0,40.0,64.0,12.8,19.4,"60,063",29.3176956
"Calhoun County, AL",1272627.0,95.0,125.0,178.0,238.0,19.2,25.2,"48,166",73.348688
"Calhoun County, GA",70954.0,,10.0,,,34.0,39.1,"38,232",8.851659627
"Calhoun County, MI",1481679.0,49.0,81.0,148.0,262.0,13.7,19.9,"55,639",73.51472524
"Calhoun County, MS",161058.0,14.0,16.0,15.0,17.0,22.4,32.1,"38,073",9.591117351
"Calhoun County, SC",163071.0,14.0,17.0,20.0,30.0,18.7,26.3,"39,476",14.90408159
"Callaway County, MO",491629.0,20.0,21.0,51.0,86.0,10.5,14.3,"64,333",20.74470794
"Calloway County, KY",421464.0,11.0,17.0,55.0,76.0,16.8,18.4,"49,263",38.88396268
"Calvert County, MD",999666.0,10.0,18.0,70.0,136.0,5.8,7.4,"117,459",164.9551742
"Cambria County, PA",1502013.0,49.0,71.0,167.0,272.0,12.9,19.4,"52,441",75.46916128
"Camden County, GA",577713.0,12.0,16.0,55.0,90.0,11.8,16.6,"63,482",32.29088126
"Camden County, MO",492309.0,,14.0,64.0,99.0,13.2,20.6,"54,637",26.54100904
"Camden County, NJ",5616479.0,378.0,492.0,135.0,575.0,12.0,16.8,"77,675",885.0013032
"Cameron County, TX",4612835.0,62.0,107.0,148.0,314.0,24.6,32.6,"46,436",182.7492668
"Campbell County, KY",1012526.0,17.0,23.0,66.0,122.0,11.1,13.4,"71,245",235.395229
"Campbell County, TN",440180.0,,18.0,57.0,92.0,19.9,25.3,"44,325",31.91258985
"Campbell County, VA",605367.0,19.0,29.0,70.0,104.0,10.9,15.5,"53,059",42.33097538
"Campbell County, WY",520543.0,,11.0,77.0,121.0,8.5,9.4,"88,491",3.835883282
"Canadian County, OK",1469079.0,30.0,51.0,155.0,250.0,8.2,10.1,"75,806",58.86855908
"Candler County, GA",120433.0,,10.0,13.0,20.0,22.0,34.0,"41,593",17.19879927
"Cannon County, TN",154975.0,,12.0,22.0,33.0,14.9,21.1,"53,093",20.314177
"Canyon County, ID",2302795.0,30.0,50.0,252.0,422.0,11.0,12.6,"64,301",139.5848719
"Cape Girardeau County, MO",857401.0,37.0,45.0,92.0,153.0,12.4,13.5,"60,997",52.27181693
"Cape May County, NJ",1040266.0,,16.0,48.0,124.0,9.0,13.7,"74,896",143.8511318
"Carbon County, PA",708533.0,13.0,21.0,110.0,184.0,14.0,22.4,"58,295",64.70895899
"Caroline County, MD",362824.0,,10.0,30.0,50.0,13.5,20.3,"61,945",39.7352873
"Caroline County, VA",328247.0,,14.0,45.0,62.0,10.9,15.5,"73,390",22.0885014
"Carroll County, AR",306293.0,,11.0,45.0,72.0,16.8,24.7,"49,225",17.09180309
"Carroll County, GA",1268078.0,36.0,51.0,125.0,213.0,16.3,20.0,"59,894",89.76724683
"Carroll County, IN",220767.0,,11.0,20.0,31.0,8.5,12.4,"57,019",20.73948855
"Carroll County, MD",1846065.0,16.0,32.0,112.0,236.0,5.4,6.2,"102,006",144.4971047
"Carroll County, MS",112259.0,10.0,12.0,15.0,20.0,15.9,23.3,"46,012",6.224560229
"Carroll County, TN",309680.0,13.0,17.0,38.0,55.0,15.9,22.1,"45,997",18.10034868
"Carson City, NV",605525.0,,24.0,101.0,182.0,11.8,16.6,"64,869",145.3721513
"Carter County, KY",298770.0,,12.0,26.0,39.0,25.6,29.6,"43,538",25.73102982
"Carter County, OK",531126.0,26.0,41.0,80.0,119.0,14.2,19.1,"53,211",22.73184655
"Carter County, TN",624824.0,15.0,19.0,72.0,114.0,17.1,25.1,"45,293",63.80119171
"Carteret County, NC",753924.0,18.0,25.0,91.0,166.0,11.8,17.9,"63,146",52.42275604
"Cascade County, MT",899657.0,19.0,37.0,121.0,228.0,13.0,16.1,"57,085",11.6976558
"Cass County, MI",569702.0,,11.0,60.0,106.0,11.5,16.1,"62,065",40.53988578
"Cass County, MN",318708.0,10.0,18.0,34.0,57.0,11.7,18.7,"57,928",5.543212648
"Cass County, MO",1127148.0,31.0,42.0,156.0,231.0,7.3,9.6,"79,949",56.90980617
"Cass County, ND",1860028.0,15.0,35.0,125.0,272.0,10.6,9.3,"66,351",38.10818851
"Cass County, TX",332202.0,17.0,22.0,58.0,79.0,18.2,29.9,"42,896",12.39828554
"Cassia County, ID",259103.0,,10.0,30.0,48.0,11.3,13.9,"63,356",3.553855593
"Caswell County, NC",252853.0,13.0,16.0,30.0,36.0,20.7,27.8,"50,879",20.64641073
"Catahoula Parish, LA",109684.0,,11.0,,12.0,26.7,39.2,"38,006",5.394858883
"Catawba County, NC",1720221.0,71.0,98.0,177.0,305.0,13.5,17.9,"59,841",150.7660738
"Catoosa County, GA",726444.0,15.0,16.0,66.0,108.0,11.6,17.2,"64,245",157.855196
"Cattaraugus County, NY",858866.0,,11.0,67.0,125.0,16.1,21.6,"54,602",22.92557801
"Cayuga County, NY",861118.0,,10.0,32.0,107.0,14.8,21.5,"62,839",43.4727628
"Cecil County, MD",1125625.0,24.0,49.0,100.0,187.0,10.9,15.1,"76,727",114.3069038
"Centre County, PA",1749418.0,,14.0,99.0,187.0,15.2,10.6,"66,239",56.1632729
"Cerro Gordo County, IA",474999.0,,13.0,36.0,95.0,11.7,13.8,"55,465",29.2032628
"Chambers County, AL",371869.0,30.0,39.0,56.0,76.0,19.7,32.2,"45,447",21.89263808
"Chambers County, TX",433885.0,18.0,25.0,49.0,68.0,10.4,12.7,"89,767",26.05167617
"Champaign County, IL",2273615.0,61.0,85.0,80.0,239.0,15.0,13.7,"58,787",81.18425593
"Champaign County, OH",431213.0,,10.0,45.0,78.0,10.6,14.7,"64,876",34.97825851
"Charles County, MD",1716603.0,74.0,100.0,117.0,187.0,6.7,9.2,"103,918",132.9772265
"Charles Mix County, SD",102180.0,,15.0,,26.0,22.6,28.6,"50,712",3.287268901
"Charleston County, SC",4249369.0,415.0,495.0,323.0,612.0,13.8,18.5,"71,755",166.0251337
"Charlotte County, FL",1918380.0,20.0,29.0,256.0,387.0,10.9,19.2,"59,547",100.3107253
"Charlottesville city, VA",504745.0,17.0,25.0,20.0,39.0,21.6,20.4,"61,255",1772.923952
"Charlton County, GA",143007.0,,14.0,16.0,24.0,24.6,33.5,"47,229",6.425905488
"Chatham County, GA",3109546.0,325.0,392.0,266.0,456.0,15.5,24.1,"61,527",255.8861832
"Chatham County, NC",767191.0,18.0,31.0,59.0,105.0,12.2,16.7,"82,764",39.52730186
"Chattooga County, GA",276491.0,12.0,16.0,26.0,43.0,20.2,28.6,"42,974",30.5811718
"Chautauqua County, NY",1438148.0,10.0,29.0,95.0,192.0,17.2,23.2,"48,102",47.21686759
"Chaves County, NM",718947.0,81.0,97.0,89.0,149.0,27.6,35.7,"45,098",4.165683658
"Cheatham County, TN",438868.0,23.0,31.0,69.0,99.0,8.6,12.9,"75,162",50.96936621
"Chelan County, WA",828497.0,15.0,23.0,80.0,145.0,10.8,13.7,"64,700",10.0131002
"Chemung County, NY",952139.0,15.0,29.0,36.0,110.0,14.9,18.3,"59,155",81.26735421
"Cherokee County, AL",286270.0,17.0,20.0,41.0,63.0,18.2,26.6,"46,365",18.0333283
"Cherokee County, GA",2613396.0,37.0,56.0,226.0,378.0,7.0,9.2,"96,997",221.8137088
"Cherokee County, NC",305227.0,,14.0,49.0,71.0,13.9,26.9,"44,211",23.45075357
"Cherokee County, OK",531726.0,23.0,38.0,56.0,111.0,21.8,24.1,"42,269",25.04226859
"Cherokee County, SC",620092.0,35.0,50.0,90.0,128.0,18.8,28.7,"45,829",55.66818034
"Cherokee County, TX",568534.0,18.0,22.0,64.0,103.0,18.1,25.1,"48,664",19.03201416
"Chesapeake city, VA",2587864.0,127.0,155.0,188.0,341.0,8.3,9.8,"87,057",271.2555353
"Cheshire County, NH",840060.0,13.0,17.0,80.0,162.0,9.9,12.1,"67,883",41.66540897
"Chester County, PA",5656948.0,59.0,86.0,289.0,656.0,6.6,7.8,"109,616",266.0474171
"Chester County, SC",356993.0,33.0,41.0,48.0,64.0,17.3,26.2,"46,500",21.4948758
"Chesterfield County, SC",506704.0,37.0,51.0,64.0,83.0,20.2,27.0,"45,395",22.24152394
"Chesterfield County, VA",3698511.0,152.0,181.0,296.0,525.0,7.4,9.7,"86,101",309.4226545
"Chickasaw County, MS",189501.0,11.0,21.0,16.0,21.0,19.9,28.7,"40,762",13.29553467
"Chicot County, AR",120557.0,12.0,17.0,,15.0,27.9,37.0,"34,857",6.48720534
"Chilton County, AL",484168.0,20.0,28.0,53.0,79.0,15.5,22.4,"55,142",24.48066939
"Chippewa County, MI",418543.0,,10.0,31.0,68.0,17.7,21.6,"48,972",9.372935438
"Chittenden County, VT",1770523.0,,28.0,106.0,234.0,10.0,7.9,"84,290",116.6051304
"Choctaw County, AL",144806.0,10.0,14.0,13.0,18.0,23.3,32.4,"40,601",5.526508604
"Choctaw County, OK",164574.0,14.0,22.0,25.0,37.0,18.6,26.5,"41,228",7.46084931
"Chowan County, NC",158385.0,,11.0,11.0,16.0,17.6,28.5,"48,568",31.76573696
"Christian County, KY",801076.0,59.0,75.0,86.0,145.0,16.7,22.7,"48,416",38.88576193
"Christian County, MO",918161.0,17.0,27.0,107.0,165.0,8.3,10.1,"70,623",57.83181595
"Cibola County, NM",298333.0,11.0,27.0,32.0,69.0,26.4,34.0,"42,862",2.294339254
"Citrus County, FL",1580197.0,42.0,68.0,290.0,421.0,15.5,24.9,"48,237",94.93927794
"Clackamas County, OR",4401398.0,51.0,80.0,390.0,734.0,8.4,8.9,"91,076",83.75337597
"Claiborne County, MS",101011.0,17.0,21.0,,,33.3,39.9,"33,163",7.224334492
"Claiborne Parish, LA",179517.0,,17.0,22.0,30.0,29.8,36.7,"36,115",8.261874246
"Clallam County, WA",815797.0,18.0,34.0,133.0,224.0,12.0,18.5,"62,623",16.54104323
"Clarendon County, SC",375165.0,25.0,33.0,44.0,55.0,20.8,28.0,"41,240",21.63904402
"Clark County, AR",248175.0,14.0,21.0,21.0,37.0,20.0,24.7,"47,158",9.979357949
"Clark County, IN",1264256.0,38.0,55.0,123.0,197.0,10.4,13.9,"62,822",119.8157579
"Clark County, KY",394906.0,11.0,17.0,39.0,64.0,11.6,17.9,"60,774",54.85553722
"Clark County, NV",23308421.0,1050.0,1557.0,2225.0,4296.0,15.1,20.6,"63,735",104.7773624
"Clark County, OH",1493514.0,73.0,90.0,117.0,255.0,16.0,22.8,"59,077",131.5326244
"Clark County, WA",5060012.0,75.0,130.0,392.0,870.0,9.0,11.2,"83,790",285.9036491
"Clarke County, AL",270824.0,15.0,21.0,30.0,42.0,19.4,29.2,"45,447",7.603131652
"Clarke County, GA",1355666.0,48.0,59.0,97.0,161.0,21.5,25.4,"49,145",403.5373333
"Clarke County, MS",176911.0,11.0,14.0,19.0,24.0,18.5,29.1,"43,774",8.892475729
"Clatsop County, OR",422267.0,,10.0,48.0,90.0,12.9,16.9,"59,539",17.97862428
"Clay County, FL",2255379.0,71.0,99.0,228.0,387.0,8.0,12.1,"76,711",132.3380171
"Clay County, KY",229299.0,17.0,23.0,31.0,39.0,35.9,45.3,"30,700",16.96542072
"Clay County, MN",682539.0,,12.0,40.0,94.0,12.9,13.6,"67,970",23.19904548
"Clay County, MO",2606204.0,76.0,101.0,285.0,479.0,8.1,10.2,"75,129",232.2097386
"Clay County, MS",219742.0,10.0,14.0,24.0,27.0,22.7,33.5,"40,257",18.65044155
"Clay County, WV",98239.0,14.0,14.0,18.0,24.0,22.3,31.0,"38,261",9.919635136
"Clayton County, GA",3031693.0,344.0,411.0,160.0,252.0,18.9,29.1,"51,422",759.4524648
"Clearfield County, PA",885166.0,,14.0,116.0,174.0,14.2,19.0,"54,539",27.05690534
"Cleburne County, AL",164419.0,,11.0,25.0,29.0,15.0,22.1,"49,769",10.29735391
"Cleburne County, AR",279597.0,12.0,17.0,42.0,57.0,16.7,26.2,"50,200",17.5920795
"Clermont County, OH",2225917.0,18.0,28.0,186.0,346.0,9.5,10.1,"70,789",173.5467612
"Cleveland County, NC",1073148.0,50.0,65.0,99.0,180.0,18.0,26.8,"49,009",80.81165896
"Cleveland County, OK",3007425.0,59.0,91.0,289.0,476.0,12.3,13.5,"67,692",198.2719805
"Clinton County, NY",893212.0,,16.0,52.0,113.0,15.1,20.9,"60,094",30.05984747
"Clinton County, OH",461407.0,,12.0,36.0,64.0,12.0,15.8,"62,999",39.58094919
"Coahoma County, MS",265661.0,73.0,89.0,18.0,23.0,37.9,54.1,"31,234",16.6338302
"Cobb County, GA",8066432.0,246.0,323.0,543.0,941.0,9.6,12.2,"87,532",846.6897774
"Cochise County, AZ",1410739.0,34.0,56.0,243.0,336.0,17.1,26.0,"55,748",7.909160031
"Cocke County, TN",391570.0,,24.0,56.0,90.0,21.0,33.0,"40,572",31.30451466
"Coconino County, AZ",1528756.0,38.0,102.0,173.0,369.0,16.9,19.4,"63,829",2.907730578
"Coffee County, AL",565365.0,16.0,24.0,74.0,90.0,15.9,24.2,"55,052",29.16467291
"Coffee County, GA",473139.0,27.0,36.0,47.0,67.0,26.0,35.0,"36,708",28.0050694
"Coffee County, TN",599859.0,,27.0,87.0,143.0,15.6,20.5,"55,070",49.08221218
"Colbert County, AL",600933.0,21.0,29.0,74.0,99.0,16.5,23.6,"53,341",35.49694998
"Cole County, MO",841848.0,32.0,40.0,79.0,126.0,11.6,14.7,"63,972",75.67995645
"Coles County, IL",577193.0,,17.0,22.0,55.0,17.4,20.4,"47,693",39.29935727
"Colfax County, NM",139206.0,,14.0,21.0,44.0,18.8,28.7,"42,787",1.269172936
"Colleton County, SC",417298.0,59.0,67.0,55.0,75.0,20.9,30.6,"46,629",13.72963373
"Collier County, FL",3922184.0,68.0,101.0,262.0,530.0,10.4,17.3,"75,799",70.38522842
"Collin County, TX",10104488.0,135.0,194.0,615.0,1093.0,6.6,7.9,"102,119",433.4078589
"Colonial Heights city, VA",193525.0,,14.0,23.0,40.0,9.4,16.4,"59,455",903.3525249
"Colorado County, TX",231298.0,,13.0,27.0,40.0,12.4,21.8,"62,004",8.452333459
"Colquitt County, GA",503778.0,41.0,49.0,57.0,80.0,22.4,30.8,"44,485",32.18979963
"Columbia County, AR",263490.0,18.0,20.0,30.0,49.0,23.2,34.1,"44,651",12.04300901
"Columbia County, FL",760484.0,44.0,64.0,93.0,145.0,16.5,22.7,"52,035",33.45442557
"Columbia County, GA",1572928.0,28.0,43.0,145.0,220.0,7.3,9.2,"87,281",196.0552786
"Columbia County, OR",556616.0,,14.0,81.0,130.0,10.2,12.5,"78,267",29.83323986
"Columbia County, PA",729863.0,10.0,19.0,77.0,124.0,16.2,18.3,"56,300",52.92346829
"Columbia County, WI",627025.0,,11.0,67.0,122.0,7.7,10.6,"74,842",28.7246932
"Columbiana County, OH",1150731.0,19.0,37.0,120.0,213.0,16.7,24.3,"51,019",75.49120655
"Columbus County, NC",622699.0,75.0,102.0,54.0,75.0,23.4,33.9,"41,206",23.16860564
"Comal County, TX",1451232.0,30.0,47.0,170.0,273.0,5.3,9.6,"93,487",93.22629951
"Comanche County, OK",1356853.0,102.0,134.0,146.0,229.0,19.2,23.4,"50,090",44.25467632
"Concordia Parish, LA",220644.0,27.0,34.0,25.0,35.0,33.7,55.7,"36,821",11.09090819
"Conecuh County, AL",138602.0,14.0,17.0,18.0,24.0,22.4,33.9,"35,621",5.682995171
"Conejos County, CO",90355.0,,10.0,17.0,25.0,16.7,22.7,"45,931",2.441785257
"Contra Costa County, CA",12265647.0,588.0,734.0,451.0,1266.0,8.8,11.3,"110,595",610.1802904
"Conway County, AR",231804.0,,12.0,24.0,44.0,16.9,25.7,"47,741",14.61617031
"Cook County, GA",188831.0,13.0,16.0,22.0,25.0,20.1,30.5,"44,995",29.06445414
"Cook County, IL",57222250.0,6273.0,7291.0,1508.0,4814.0,13.8,18.9,"72,063",2134.420727
"Cooke County, TX",434363.0,10.0,17.0,53.0,100.0,13.0,19.3,"58,060",17.46488577
"Coos County, NH",350700.0,,10.0,51.0,76.0,12.5,20.5,"53,602",6.892993893
"Coos County, OR",697482.0,16.0,32.0,123.0,210.0,17.4,24.4,"54,067",15.31503757
"Coosa County, AL",119089.0,12.0,13.0,16.0,23.0,17.1,29.9,"45,954",6.438885282
"Copiah County, MS",315681.0,26.0,33.0,32.0,45.0,20.9,27.9,"43,471",14.26663426
