State FIPS Code,County FIPS Code,Postal Code,Name,"Poverty Percent, All Ages",Median Household Income
18,009,IN,Blackford County,12.9,"47,553"
37,017,NC,Bladen County,21.6,"42,398"
16,013,ID,Blaine County,7.2,"86,735"
30,005,MT,Blaine County,18.9,"46,335"
31,009,NE,Blaine County,13.7,"53,541"
40,011,OK,Blaine County,18.0,"50,068"
42,013,PA,Blair County,11.9,"55,843"
48,031,TX,Blanco County,9.0,"69,247"
51,021,VA,Bland County,14.4,"50,492"
13,023,GA,Bleckley County,19.0,"51,770"
47,007,TN,Bledsoe County,22.1,"44,867"
01,009,AL,Blount County,12.0,"56,894"
47,009,TN,Blount County,9.7,"62,724"
27,013,MN,Blue Earth County,13.2,"68,620"
16,015,ID,Boise County,12.0,"71,545"
28,011,MS,Bolivar County,34.2,"35,599"
29,017,MO,Bollinger County,15.0,"54,291"
46,009,SD,Bon Homme County,14.0,"54,009"
17,005,IL,Bond County,13.5,"57,287"
16,017,ID,Bonner County,11.8,"61,940"
16,019,ID,Bonneville County,9.8,"69,880"
05,009,AR,Boone County,13.0,"48,700"
17,007,IL,Boone County,10.1,"71,557"
18,011,IN,Boone County,5.5,"98,047"
19,015,IA,Boone County,7.8,"69,888"
21,015,KY,Boone County,6.4,"85,284"
29,019,MO,Boone County,16.6,"62,805"
31,011,NE,Boone County,9.6,"64,705"
54,005,WV,Boone County,24.7,"41,227"
48,033,TX,Borden County,9.9,"69,744"
48,035,TX,Bosque County,13.2,"56,041"
22,015,LA,Bossier Parish,15.2,"61,225"
51,023,VA,Botetourt County,7.0,"74,081"
38,009,ND,Bottineau County,11.2,"67,400"
08,013,CO,Boulder County,10.7,"90,327"
16,021,ID,Boundary County,12.1,"55,285"
20,011,KS,Bourbon County,15.2,"51,355"
21,017,KY,Bourbon County,15.1,"58,304"
48,037,TX,Bowie County,17.8,"52,934"
38,011,ND,Bowman County,9.0,"68,253"
31,013,NE,Box Butte County,11.2,"65,493"
49,003,UT,Box Elder County,8.0,"69,538"
21,019,KY,Boyd County,21.0,"48,979"
31,015,NE,Boyd County,14.1,"51,107"
21,021,KY,Boyle County,15.5,"52,940"
21,023,KY,Bracken County,14.8,"55,347"
12,007,FL,Bradford County,19.1,"54,911"
42,015,PA,Bradford County,13.7,"55,199"
05,011,AR,Bradley County,19.6,"40,454"
47,011,TN,Bradley County,11.7,"56,273"
26,023,MI,Branch County,12.5,"60,481"
13,025,GA,Brantley County,18.4,"48,076"
54,007,WV,Braxton County,21.3,"41,587"
48,039,TX,Brazoria County,9.0,"82,165"
48,041,TX,Brazos County,22.6,"50,494"
21,025,KY,Breathitt County,31.0,"33,005"
21,027,KY,Breckinridge County,16.9,"50,012"
19,017,IA,Bremer County,7.1,"75,395"
12,009,FL,Brevard County,11.3,"65,280"
48,043,TX,Brewster County,13.3,"51,197"
48,045,TX,Briscoe County,14.7,"49,905"
02,060,AK,Bristol Bay Borough,11.3,"88,516"
51,520,VA,Bristol city,18.4,"41,272"
25,005,MA,Bristol County,11.9,"72,857"
44,001,RI,Bristol County,7.5,"94,553"
30,007,MT,Broadwater County,8.6,"66,307"
36,005,NY,Bronx County,26.4,"43,143"
54,009,WV,Brooke County,13.0,"52,217"
46,011,SD,Brookings County,12.6,"61,581"
13,027,GA,Brooks County,23.5,"40,936"
48,047,TX,Brooks County,28.6,"33,460"
36,007,NY,Broome County,14.1,"55,729"
08,014,CO,Broomfield County,4.9,"106,413"
12,011,FL,Broward County,12.8,"65,536"
17,009,IL,Brown County,16.6,"51,294"
18,013,IN,Brown County,10.8,"66,839"
20,013,KS,Brown County,14.0,"52,446"
27,015,MN,Brown County,9.2,"63,708"
31,017,NE,Brown County,10.9,"52,738"
39,015,OH,Brown County,16.8,"58,990"
46,013,SD,Brown County,11.6,"62,070"
48,049,TX,Brown County,15.3,"48,803"
55,009,WI,Brown County,9.3,"67,232"
46,015,SD,Brule County,12.8,"58,516"
37,019,NC,Brunswick County,9.8,"67,286"
51,025,VA,Brunswick County,21.3,"47,401"
13,029,GA,Bryan County,8.1,"87,334"
40,013,OK,Bryan County,16.5,"47,916"
19,019,IA,Buchanan County,9.8,"64,503"
29,021,MO,Buchanan County,18.6,"51,811"
51,027,VA,Buchanan County,23.9,"38,087"
51,029,VA,Buckingham County,16.8,"54,263"
42,017,PA,Bucks County,6.5,"99,755"
51,530,VA,Buena Vista city,15.1,"47,144"
19,021,IA,Buena Vista County,10.8,"60,576"
31,019,NE,Buffalo County,10.7,"65,721"
46,017,SD,Buffalo County,35.9,"25,653"
55,011,WI,Buffalo County,8.9,"61,382"
21,029,KY,Bullitt County,11.1,"68,630"
13,031,GA,Bulloch County,21.3,"53,105"
01,011,AL,Bullock County,32.1,"32,027"
37,021,NC,Buncombe County,11.7,"63,838"
17,011,IL,Bureau County,12.1,"61,431"
13,033,GA,Burke County,20.7,"46,977"
37,023,NC,Burke County,14.3,"53,758"
38,013,ND,Burke County,8.9,"71,492"
38,015,ND,Burleigh County,8.3,"71,980"
48,051,TX,Burleson County,14.4,"57,469"
34,005,NJ,Burlington County,7.6,"94,043"
48,053,TX,Burnet County,9.9,"72,510"
55,013,WI,Burnett County,12.2,"56,874"
31,021,NE,Burt County,10.0,"61,317"
01,013,AL,Butler County,22.7,"39,442"
19,023,IA,Butler County,8.8,"65,284"
20,015,KS,Butler County,9.6,"71,826"
21,031,KY,Butler County,18.2,"49,288"
29,023,MO,Butler County,19.9,"43,640"
31,023,NE,Butler County,8.3,"66,416"
39,017,OH,Butler County,11.6,"72,859"
42,019,PA,Butler County,8.5,"77,902"
06,007,CA,Butte County,16.6,"62,982"
16,023,ID,Butte County,15.8,"52,221"
46,019,SD,Butte County,12.2,"53,812"
13,035,GA,Butts County,14.0,"61,471"
37,025,NC,Cabarrus County,9.4,"79,148"
54,011,WV,Cabell County,19.0,"46,923"
49,005,UT,Cache County,11.0,"69,670"
40,015,OK,Caddo County,26.1,"44,121"
22,017,LA,Caddo Parish,23.6,"44,968"
06,009,CA,Calaveras County,13.5,"68,298"
22,019,LA,Calcasieu Parish,18.3,"57,667"
21,033,KY,Caldwell County,16.1,"46,240"
29,025,MO,Caldwell County,13.2,"52,861"
37,027,NC,Caldwell County,14.8,"44,705"
48,055,TX,Caldwell County,12.8,"60,063"
22,021,LA,Caldwell Parish,22.7,"39,079"
50,005,VT,Caledonia County,12.5,"59,762"
01,015,AL,Calhoun County,19.2,"48,166"
05,013,AR,Calhoun County,14.6,"49,977"
12,013,FL,Calhoun County,20.6,"43,210"
13,037,GA,Calhoun County,34.0,"38,232"
17,013,IL,Calhoun County,10.1,"63,586"
19,025,IA,Calhoun County,12.1,"59,643"
26,025,MI,Calhoun County,13.7,"55,639"
28,013,MS,Calhoun County,22.4,"38,073"
45,017,SC,Calhoun County,18.7,"39,476"
48,057,TX,Calhoun County,14.6,"70,662"
54,013,WV,Calhoun County,23.8,"38,835"
06,000,CA,California,12.3,"84,831"
48,059,TX,Callahan County,12.1,"56,708"
29,027,MO,Callaway County,10.5,"64,333"
21,035,KY,Calloway County,16.8,"49,263"
55,015,WI,Calumet County,5.3,"78,666"
24,009,MD,Calvert County,5.8,"117,459"
16,025,ID,Camas County,9.5,"57,230"
42,021,PA,Cambria County,12.9,"52,441"
13,039,GA,Camden County,11.8,"63,482"
29,029,MO,Camden County,13.2,"54,637"
34,007,NJ,Camden County,12.0,"77,675"
37,029,NC,Camden County,8.0,"79,162"
42,023,PA,Cameron County,13.4,"47,588"
48,061,TX,Cameron County,24.6,"46,436"
22,023,LA,Cameron Parish,14.0,"62,457"
48,063,TX,Camp County,16.7,"51,024"
21,037,KY,Campbell County,11.1,"71,245"
46,021,SD,Campbell County,10.9,"61,892"
47,013,TN,Campbell County,19.9,"44,325"
51,031,VA,Campbell County,10.9,"53,059"
56,005,WY,Campbell County,8.5,"88,491"
40,017,OK,Canadian County,8.2,"75,806"
13,043,GA,Candler County,22.0,"41,593"
47,015,TN,Cannon County,14.9,"53,093"
16,027,ID,Canyon County,11.0,"64,301"
29,031,MO,Cape Girardeau County,12.4,"60,997"
34,009,NJ,Cape May County,9.0,"74,896"
30,009,MT,Carbon County,9.2,"62,841"
42,025,PA,Carbon County,14.0,"58,295"
49,007,UT,Carbon County,15.9,"50,503"
56,007,WY,Carbon County,12.3,"63,984"
16,029,ID,Caribou County,9.8,"66,697"
21,039,KY,Carlisle County,15.6,"56,804"
27,017,MN,Carlton County,10.4,"68,442"
24,011,MD,Caroline County,13.5,"61,945"
51,033,VA,Caroline County,10.9,"73,390"
05,015,AR,Carroll County,16.8,"49,225"
13,045,GA,Carroll County,16.3,"59,894"
17,015,IL,Carroll County,13.5,"54,450"
18,015,IN,Carroll County,8.5,"57,019"
19,027,IA,Carroll County,9.3,"65,598"
21,041,KY,Carroll County,17.9,"49,814"
24,013,MD,Carroll County,5.4,"102,006"
28,015,MS,Carroll County,15.9,"46,012"
29,033,MO,Carroll County,12.1,"59,257"
33,003,NH,Carroll County,7.9,"66,874"
39,019,OH,Carroll County,13.3,"56,287"
47,017,TN,Carroll County,15.9,"45,997"
51,035,VA,Carroll County,14.6,"45,956"
32,510,NV,Carson City,11.8,"64,869"
48,065,TX,Carson County,9.1,"66,548"
21,043,KY,Carter County,25.6,"43,538"
29,035,MO,Carter County,20.4,"39,423"
30,011,MT,Carter County,13.1,"52,116"
40,019,OK,Carter County,14.2,"53,211"
47,019,TN,Carter County,17.1,"45,293"
37,031,NC,Carteret County,11.8,"63,146"
27,019,MN,Carver County,4.6,"106,582"
30,013,MT,Cascade County,13.0,"57,085"
21,045,KY,Casey County,20.7,"38,320"
17,017,IL,Cass County,11.4,"60,961"
18,017,IN,Cass County,12.1,"53,813"
19,029,IA,Cass County,14.4,"55,909"
26,027,MI,Cass County,11.5,"62,065"
27,021,MN,Cass County,11.7,"57,928"
29,037,MO,Cass County,7.3,"79,949"
31,025,NE,Cass County,6.4,"77,771"
38,017,ND,Cass County,10.6,"66,351"
48,067,TX,Cass County,18.2,"42,896"
16,031,ID,Cassia County,11.3,"63,356"
48,069,TX,Castro County,16.2,"62,236"
37,033,NC,Caswell County,20.7,"50,879"
22,025,LA,Catahoula Parish,26.7,"38,006"
37,035,NC,Catawba County,13.5,"59,841"
13,047,GA,Catoosa County,11.6,"64,245"
35,003,NM,Catron County,19.8,"40,273"
36,009,NY,Cattaraugus County,16.1,"54,602"
38,019,ND,Cavalier County,8.0,"65,006"
36,011,NY,Cayuga County,14.8,"62,839"
24,015,MD,Cecil County,10.9,"76,727"
19,031,IA,Cedar County,7.3,"75,894"
29,039,MO,Cedar County,18.2,"43,563"
31,027,NE,Cedar County,7.9,"64,037"
42,027,PA,Centre County,15.2,"66,239"
19,033,IA,Cerro Gordo County,11.7,"55,465"
08,015,CO,Chaffee County,10.4,"65,987"
01,017,AL,Chambers County,19.7,"45,447"
48,071,TX,Chambers County,10.4,"89,767"
17,019,IL,Champaign County,15.0,"58,787"
39,021,OH,Champaign County,10.6,"64,876"
29,041,MO,Chariton County,11.8,"56,898"
51,036,VA,Charles City County,11.4,"63,299"
24,017,MD,Charles County,6.7,"103,918"
46,023,SD,Charles Mix County,22.6,"50,712"
45,019,SC,Charleston County,13.8,"71,755"
26,029,MI,Charlevoix County,9.1,"64,604"
12,015,FL,Charlotte County,10.9,"59,547"
51,037,VA,Charlotte County,16.9,"48,382"
51,540,VA,Charlottesville city,21.6,"61,255"
13,049,GA,Charlton County,24.6,"47,229"
20,017,KS,Chase County,10.9,"57,415"
31,029,NE,Chase County,8.8,"59,492"
13,051,GA,Chatham County,15.5,"61,527"
37,037,NC,Chatham County,12.2,"82,764"
13,053,GA,Chattahoochee County,16.5,"53,786"
13,055,GA,Chattooga County,20.2,"42,974"
20,019,KS,Chautauqua County,15.5,"46,986"
36,013,NY,Chautauqua County,17.2,"48,102"
35,005,NM,Chaves County,27.6,"45,098"
47,021,TN,Cheatham County,8.6,"75,162"
26,031,MI,Cheboygan County,12.9,"53,747"
53,007,WA,Chelan County,10.8,"64,700"
36,015,NY,Chemung County,14.9,"59,155"
36,017,NY,Chenango County,13.3,"58,177"
01,019,AL,Cherokee County,18.2,"46,365"
13,057,GA,Cherokee County,7.0,"96,997"
19,035,IA,Cherokee County,10.2,"64,286"
20,021,KS,Cherokee County,14.9,"51,353"
37,039,NC,Cherokee County,13.9,"44,211"
40,021,OK,Cherokee County,21.8,"42,269"
45,021,SC,Cherokee County,18.8,"45,829"
48,073,TX,Cherokee County,18.1,"48,664"
31,031,NE,Cherry County,11.1,"53,533"
51,550,VA,Chesapeake city,8.3,"87,057"
33,005,NH,Cheshire County,9.9,"67,883"
42,029,PA,Chester County,6.6,"109,616"
45,023,SC,Chester County,17.3,"46,500"
47,023,TN,Chester County,17.6,"51,615"
45,025,SC,Chesterfield County,20.2,"45,395"
51,041,VA,Chesterfield County,7.4,"86,101"
08,017,CO,Cheyenne County,12.9,"58,544"
20,023,KS,Cheyenne County,13.8,"49,281"
31,033,NE,Cheyenne County,11.9,"54,772"
19,037,IA,Chickasaw County,8.5,"67,667"
28,017,MS,Chickasaw County,19.9,"40,762"
05,017,AR,Chicot County,27.9,"34,857"
48,075,TX,Childress County,21.1,"42,758"
01,021,AL,Chilton County,15.5,"55,142"
26,033,MI,Chippewa County,17.7,"48,972"
27,023,MN,Chippewa County,10.6,"58,611"
55,017,WI,Chippewa County,9.9,"62,306"
27,025,MN,Chisago County,6.5,"85,080"
50,007,VT,Chittenden County,10.0,"84,290"
01,023,AL,Choctaw County,23.3,"40,601"
28,019,MS,Choctaw County,20.9,"43,567"
40,023,OK,Choctaw County,18.6,"41,228"
30,015,MT,Chouteau County,14.4,"51,113"
37,041,NC,Chowan County,17.6,"48,568"
17,021,IL,Christian County,12.0,"52,500"
21,047,KY,Christian County,16.7,"48,416"
29,043,MO,Christian County,8.3,"70,623"
02,063,AK,Chugach Census Area,7.7,"88,029"
32,001,NV,Churchill County,10.4,"67,716"
35,006,NM,Cibola County,26.4,"42,862"
40,025,OK,Cimarron County,15.9,"50,300"
12,017,FL,Citrus County,15.5,"48,237"
41,005,OR,Clackamas County,8.4,"91,076"
28,021,MS,Claiborne County,33.3,"33,163"
47,025,TN,Claiborne County,17.1,"43,331"
22,027,LA,Claiborne Parish,29.8,"36,115"
53,009,WA,Clallam County,12.0,"62,623"
26,035,MI,Clare County,18.9,"46,085"
45,027,SC,Clarendon County,20.8,"41,240"
42,031,PA,Clarion County,11.8,"55,551"
05,019,AR,Clark County,20.0,"47,158"
16,033,ID,Clark County,14.3,"52,838"
17,023,IL,Clark County,10.2,"58,741"
18,019,IN,Clark County,10.4,"62,822"
20,025,KS,Clark County,11.4,"58,699"
21,049,KY,Clark County,11.6,"60,774"
29,045,MO,Clark County,13.0,"50,390"
32,003,NV,Clark County,15.1,"63,735"
39,023,OH,Clark County,16.0,"59,077"
46,025,SD,Clark County,10.6,"59,637"
53,011,WA,Clark County,9.0,"83,790"
55,019,WI,Clark County,12.4,"59,258"
01,025,AL,Clarke County,19.4,"45,447"
13,059,GA,Clarke County,21.5,"49,145"
19,039,IA,Clarke County,9.6,"58,483"
28,023,MS,Clarke County,18.5,"43,774"
51,043,VA,Clarke County,7.2,"91,603"
41,007,OR,Clatsop County,12.9,"59,539"
01,027,AL,Clay County,18.4,"47,036"
05,021,AR,Clay County,17.9,"41,419"
12,019,FL,Clay County,8.0,"76,711"
13,061,GA,Clay County,24.3,"35,957"
17,025,IL,Clay County,14.1,"51,042"
18,021,IN,Clay County,11.1,"64,245"
19,041,IA,Clay County,9.4,"60,162"
20,027,KS,Clay County,9.7,"59,343"
21,051,KY,Clay County,35.9,"30,700"
27,027,MN,Clay County,12.9,"67,970"
28,025,MS,Clay County,22.7,"40,257"
29,047,MO,Clay County,8.1,"75,129"
31,035,NE,Clay County,9.9,"64,315"
37,043,NC,Clay County,13.8,"51,537"
46,027,SD,Clay County,16.8,"51,388"
47,027,TN,Clay County,18.7,"39,770"
48,077,TX,Clay County,10.7,"60,973"
54,015,WV,Clay County,22.3,"38,261"
13,063,GA,Clayton County,18.9,"51,422"
19,043,IA,Clayton County,10.0,"56,076"
08,019,CO,Clear Creek County,7.6,"78,312"
42,033,PA,Clearfield County,14.2,"54,539"
16,035,ID,Clearwater County,14.8,"53,344"
27,029,MN,Clearwater County,14.0,"60,235"
01,029,AL,Cleburne County,15.0,"49,769"
05,023,AR,Cleburne County,16.7,"50,200"
39,025,OH,Clermont County,9.5,"70,789"
05,025,AR,Cleveland County,14.1,"53,705"
37,045,NC,Cleveland County,18.0,"49,009"
40,027,OK,Cleveland County,12.3,"67,692"
13,065,GA,Clinch County,23.9,"44,799"
17,027,IL,Clinton County,9.1,"77,272"
18,023,IN,Clinton County,10.4,"60,609"
19,045,IA,Clinton County,11.5,"60,528"
21,053,KY,Clinton County,22.6,"36,865"
26,037,MI,Clinton County,7.8,"77,617"
29,049,MO,Clinton County,10.1,"64,823"
36,019,NY,Clinton County,15.1,"60,094"
39,027,OH,Clinton County,12.0,"62,999"
42,035,PA,Clinton County,13.2,"54,171"
20,029,KS,Cloud County,13.3,"50,176"
28,027,MS,Coahoma County,37.9,"31,234"
40,029,OK,Coal County,18.7,"44,733"
13,067,GA,Cobb County,9.6,"87,532"
04,003,AZ,Cochise County,17.1,"55,748"
48,079,TX,Cochran County,21.3,"42,274"
47,029,TN,Cocke County,21.0,"40,572"
04,005,AZ,Coconino County,16.9,"63,829"
46,029,SD,Codington County,9.6,"65,106"
01,031,AL,Coffee County,15.9,"55,052"
13,069,GA,Coffee County,26.0,"36,708"
47,031,TN,Coffee County,15.6,"55,070"
20,031,KS,Coffey County,9.3,"64,991"
48,081,TX,Coke County,15.1,"46,767"
01,033,AL,Colbert County,16.5,"53,341"
29,051,MO,Cole County,11.6,"63,972"
48,083,TX,Coleman County,19.3,"42,253"
